epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,2344.01,0.60507,0.40581,1.10897,0.95151,0.93127,0.96623,0.82169,0.68412,0.37128,1.21487,0.000755582,0.000755582,0.000755582
82,2372.78,0.57668,0.39262,1.09491,0.95693,0.93261,0.96303,0.8196,0.68431,0.37458,1.21308,0.000738414,0.000738414,0.000738414
83,2401.71,0.58805,0.40276,1.10037,0.94052,0.94474,0.96463,0.81515,0.68744,0.38913,1.21258,0.000721292,0.000721292,0.000721292
84,2430.51,0.57422,0.39743,1.09489,0.95394,0.93185,0.96517,0.82265,0.67809,0.3806,1.19866,0.000704223,0.000704223,0.000704223
85,2459.4,0.56538,0.38408,1.0821,0.95423,0.94205,0.96942,0.82026,0.67945,0.35521,1.21086,0.000687214,0.000687214,0.000687214
86,2488.01,0.56356,0.38441,1.08413,0.94532,0.94205,0.96884,0.81737,0.6815,0.36837,1.20314,0.000670274,0.000670274,0.000670274
87,2516.97,0.57188,0.39707,1.09062,0.95372,0.93497,0.96651,0.82774,0.67151,0.36509,1.20422,0.000653408,0.000653408,0.000653408
88,2545.87,0.56218,0.3791,1.08374,0.95967,0.93801,0.96834,0.81881,0.66323,0.35683,1.19254,0.000636625,0.000636625,0.000636625
89,2574.61,0.55083,0.37982,1.08226,0.96609,0.9327,0.96343,0.82168,0.65963,0.37449,1.1958,0.000619932,0.000619932,0.000619932
90,2603.4,0.55024,0.38214,1.07796,0.96364,0.92722,0.96444,0.82625,0.65286,0.36199,1.18567,0.000603336,0.000603336,0.000603336
91,2632.1,0.56446,0.37862,1.0904,0.95709,0.94753,0.97196,0.82962,0.64473,0.34455,1.18049,0.000586845,0.000586845,0.000586845
92,2661.21,0.54678,0.36291,1.08279,0.95191,0.93396,0.96211,0.8193,0.6573,0.36875,1.19535,0.000570466,0.000570466,0.000570466
93,2690.61,0.54289,0.37607,1.07893,0.9559,0.94226,0.96824,0.82296,0.64795,0.35048,1.18407,0.000554206,0.000554206,0.000554206
94,2719.81,0.5478,0.37317,1.07243,0.95218,0.94609,0.96439,0.82499,0.64453,0.36016,1.18952,0.000538072,0.000538072,0.000538072
95,2748.37,0.53342,0.36652,1.07044,0.97374,0.94308,0.97056,0.82586,0.64886,0.33972,1.1922,0.000522071,0.000522071,0.000522071
96,2777.17,0.52805,0.35684,1.07043,0.95343,0.95298,0.97238,0.82694,0.64309,0.3383,1.18619,0.00050621,0.00050621,0.00050621
97,2806.08,0.52671,0.3609,1.06552,0.96561,0.93032,0.96655,0.82885,0.64873,0.35183,1.1874,0.000490497,0.000490497,0.000490497
98,2835.08,0.52548,0.361,1.05958,0.94614,0.95994,0.96927,0.82897,0.63521,0.3329,1.18592,0.000474938,0.000474938,0.000474938
99,2863.78,0.51791,0.35288,1.05663,0.95193,0.95957,0.97088,0.8277,0.64036,0.34621,1.18783,0.000459539,0.000459539,0.000459539
100,2892.57,0.51119,0.35316,1.04935,0.96083,0.94744,0.97074,0.83379,0.63803,0.33713,1.18513,0.000444309,0.000444309,0.000444309
101,2921.31,0.51742,0.35624,1.05874,0.96385,0.94609,0.96971,0.83037,0.62848,0.3332,1.17706,0.000429252,0.000429252,0.000429252
102,2950.01,0.51,0.35148,1.05413,0.9577,0.95618,0.97088,0.83564,0.62485,0.3267,1.16825,0.000414377,0.000414377,0.000414377
103,2978.87,0.49939,0.34277,1.0477,0.96959,0.94196,0.97302,0.8312,0.63181,0.33497,1.17149,0.000399689,0.000399689,0.000399689
104,3007.77,0.50208,0.34635,1.0468,0.94793,0.95957,0.97334,0.8348,0.62168,0.33245,1.16031,0.000385196,0.000385196,0.000385196
105,3036.61,0.50807,0.34567,1.04725,0.95066,0.95194,0.97213,0.8358,0.61531,0.33096,1.16473,0.000370902,0.000370902,0.000370902
106,3065.37,0.48799,0.33508,1.04308,0.9577,0.9598,0.97193,0.83536,0.62038,0.32069,1.16994,0.000356815,0.000356815,0.000356815
107,3094.71,0.49462,0.33698,1.04708,0.94196,0.96235,0.97025,0.83477,0.61563,0.33622,1.16595,0.000342941,0.000342941,0.000342941
108,3123.58,0.47942,0.33163,1.04017,0.94624,0.95102,0.96992,0.83729,0.60973,0.33732,1.15713,0.000329286,0.000329286,0.000329286
109,3152.61,0.47716,0.3352,1.03103,0.96159,0.95283,0.9735,0.83772,0.60983,0.32476,1.16572,0.000315855,0.000315855,0.000315855
110,3181.61,0.48223,0.33299,1.03868,0.96284,0.95415,0.97184,0.84047,0.60952,0.31851,1.16388,0.000302655,0.000302655,0.000302655
111,3211.21,0.45873,0.32087,1.02679,0.96125,0.94474,0.9719,0.84019,0.61353,0.32574,1.16677,0.000289692,0.000289692,0.000289692
112,3240.18,0.47381,0.3253,1.03274,0.96647,0.94065,0.97412,0.84301,0.60922,0.32981,1.16171,0.000276971,0.000276971,0.000276971
113,3269.17,0.47069,0.3343,1.03207,0.96329,0.94976,0.97328,0.84228,0.60665,0.33142,1.15478,0.000264497,0.000264497,0.000264497
114,3298.11,0.45693,0.31832,1.02507,0.96675,0.93803,0.97052,0.84052,0.59603,0.32321,1.14476,0.000252277,0.000252277,0.000252277
115,3326.78,0.4688,0.32174,1.03064,0.96489,0.9407,0.97036,0.84244,0.60761,0.32638,1.15749,0.000240316,0.000240316,0.000240316
116,3355.77,0.46521,0.31589,1.02294,0.96136,0.95148,0.97115,0.84468,0.59321,0.31706,1.147,0.000228618,0.000228618,0.000228618
117,3384.81,0.45241,0.31106,1.02136,0.95909,0.95596,0.97146,0.84047,0.59443,0.31657,1.14339,0.000217189,0.000217189,0.000217189
118,3413.68,0.46555,0.31863,1.0227,0.95499,0.95553,0.97459,0.84502,0.59514,0.32009,1.14022,0.000206034,0.000206034,0.000206034
